21,鲁迅三兄弟,黄野,天津社会科学院出版社,NULL,2010-12,274,29.80元,平装,9787806885925,0.0,10,NULL,《鲁迅三兄弟》对鲁迅三兄弟的大比较描写，想必会把你领入某种难言的感触之中的。若此，我们就没有浪费你的时间了。愿他们不同的生命价值和追求，会为你之涉于人生，参考一二。但愿我们对他们的直呼其名，没有破坏您对他们的崇敬之心。而我们认为，把一个人，放回到他的真实、凡人的基础上，来看待他的伟大和光耀，这才是对他最真实的敬意。我们就这样热爱他们了。,鲁迅
22,猎人们,朱天心,生活·读书·新知三联书店,NULL,2006-10,166,24.00元,平装,9787108024862,8.8,2213,NULL,"这本书虽是散文随笔集，但也可以视为小说家“都市人类学”式的台湾社会“畸零族群”观察，只是凝视对象从人转移到了猫，作家用情更深，在她自己的人生与时间中的刻凿痕迹也就越深。在这本书的九篇作品中，作家述写自己与屋里屋外、可见的与不可见的生活领域里众猫族的邂逅与相处，她给他们自由，却赚得了羁绊；对他们的生命尊之重之，自己的生命也得到丰富。 在作者的笔下，猫已经不是宠物、不是朱家男女老小的玩偶，而是一群独立自在的主体，各逞其能在人类支配的环境里寻找空隙，争取一份存活的空间。这种视猫为自由主体的猫书，应该与人类英雄的传记归于同一类文体。",随笔
23,易碎品,(英)尼尔·盖曼,人民文学出版社,NULL,2013-1,287,30.00元,平装,9787020095391,8.2,485,NULL,"易碎品比比皆是，人与心如此，故事也不例外！ 当代幻想文学大师尼尔•盖曼经典之作 《易碎品》收录了尼尔•盖曼包括雨果奖获奖作品《绿字的研究》在内的多部诗歌、散文及故事作品，展现了他天马行空的想象力和写作才华。他就像个魔术师，用不可思议的手法营造出绚丽惊奇的幻象，让读者惊喜连连，目不暇给。他既将怪诞恐怖的想象融入现实（《纪念与珍宝》、《饲者与食者》），又不乏未泯的童心（《大家都爱好孩子》），还把现实与虚幻天衣无缝地结合起来（《记忆小径拾零》、《打烊时分》），更用想象为童话度上了一层全新的色彩（《椅中的十月》）。在他的故事里，地狱与天堂只有一线之隔，真实与想象就在一念之间。逗趣、阴郁、诡谲、优雅、感伤、冷硬，不同的气质、跳跃的思维与充满灵气的文字背后，有对生活的爱，对失去的害怕，以及对情感细致入微的观察，让人紧张到后背发凉、温柔到心生暖意、兴奋到心跳加速，...(展开全部)",奇幻
24,華麗與蒼涼,蔡鳳儀（編）,皇冠,NULL,1996,302,"NTD 250",平裝,9789624513974,7.7,16,NULL,暂无简介,张爱玲
25,追风筝的人,"[美] 卡勒德·胡赛尼",上海人民出版社,NULL,2006-5,362,29.00元,平装,9787208061644,8.8,254289,NULL,"12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。 成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？ 故事如此残忍而又美丽，作者以温暖细腻的笔法勾勒人性的本质与救赎，读来令人荡气回肠。",小说
26,武则天,苏童,上海文艺出版社,NULL,2004-08,199,15.00,平装,9787532127214,8.0,3041,NULL,"目录 1 才人武照 2 太子弘 3 昭仪武照 4 太子贤 5 天后武照 6 睿宗 7 女皇 8 尾声",当代文学
27,罗曼·罗兰,茨威格,安徽文艺出版社,NULL,2000-8,262,12.8,平装,9787539619293,7.9,15,NULL,,茨威格
28,丽塔和小东西的圣诞节,胡月,农村读物出版社,NULL,2011-1,24,14.80元,精装,9787504854148,9.1,24,NULL,《丽塔和小东西的圣诞节》讲述了5岁的小女孩丽塔和没有名字的小狗——小东西之间的故事，不管是丽塔的臭美还是小东西的我行我素，都给每天的生活带来另一种可爱和有趣。《丽塔和小东西的圣诞节》是套富有童心童趣的绘本。,童话
29,"凝爱成珠.1 归来",尼卡,江苏文艺出版社,NULL,2015-7,329,32.80元,平装,9787539983141,8.0,248,NULL,"对亚宁来说，湘湘是童年记忆里最甜美的糖果，是少年心情里飘飘的白裙和初次心动，是后来漫长的岁月中、纸醉金迷花天酒地然而手表上永远显示的那个伦敦时间。 对湘湘来说，亚宁是突然间闯入她安宁的童年的黑小子，是搅乱她豆蔻年华的莽撞少年，是深陷迷雾中带领她前行的温暖的手，是相隔万里时总不期而至的幸福，是宁可背负背信弃义恶名、也要勇敢承担起来的爱和责任。 七年的分离，不过时间长河里微渺的一滴水。 七年的等待，让彼此的爱恨更加分明。 当往事浮现，当恩怨明晰，当爱欲重燃，他们是否能坦然面对生命中最重要的人、最深重的爱恋？",言情
30,"Alien Interview","Lawrence R. Spencer","Lawrence R. Spencer",NULL,2008-05-28,324,"USD 18.50","Perfect Paperback",9780615204604,7.7,73,NULL,"The content of this book is the letter, official Top Secret U.S. Army Air Force interview transcripts and personal notes I received from the late Matilda O""Donnell MacElroy. Her letter to me asserts that this material is based on a series of interviews she conducted with an extraterrestrial being as part of her official duty as a nurse in the U.S. Army Air Force. During July an...(展开全部)",科幻
